,sentence_chunks,sentence_chunks_count,page_number
20,"பெரியார் மறுபடியும் அவருடைய இயற்கை வேலையாகிய பிரசாரத்தில் இறங்கி விட்டார். இடைவிடாமல் மறுபடியும் சொற்பொழிவுகள், பிரயாணங்கள். தமிழர் இயக்கம் புதிய உணர்ச்சியோடும், புதிய வீரத்தோடும் வளர ஆரம்பித்து விட்டது. பெரியாருக்கு எங்கு சென்றாலும் அமோகமான வரவேற்பு, பல்லாயிரக்கணக்கான மக்களின் கூட்டம். எங்கும் பணமுடிப்பு முயற்சி. நீதிக்கட்சிக்கு என்றுமில்லாத ஆதரவு. பார்ப்பனரல்லாதார் என்ற பழைய பெயர் இப்போது தமிழர் என்ற அழகிய சிறு பெயரில் அடங்கிவிட்டது. பிராமணர்கள் ஆரியர் என்றும், மற்றவர் யாவரும் தமிழர் என்றும், நியாயமான",69,volume_01_work_02.txt
21,"இந்நிலையில் எதிர்பாராதவிதமாய் ஈரோட்டிலுள்ள விடுதலை அச்சுக்கூடமும், சென்னையிலுள்ள இந்தி எதிர்ப்பு நிலையமும் சர்க்காரால் சோதனை போடப்பட்டுப் பல கடிதங்கள், கணக்குகள் பறிமுதலாயின.",23,volume_01_work_02.txt
22,"1939 ஆகட் 10ஆம் தேதியில் ஈரோட்டில் பெரியாருடைய மாளிகையில் தென்னிந்திய நல உரிமைச் சங்கத்தின் நிர்வாகக் கூட்டம் நடைபெற்றது. இக்கூட்டத்தில் இலங்கைத் தமிழர்கள் நிலையைப் பற்றியும், இந்தி நுழைப்பைப் பற்றியும், வரப்போகும் ஜில்லா போர்டு முதலிய தேர்தல்களைப் பற்றியும், ஆந்திர மாகாணத்தின் அவசியத்தைப் பற்றியும் சில முக்கிய முடிவுகள் செய்யப்பட்டன.
***",46,volume_01_work_02.txt
23,"சமணசமயம் தோன்றிய வரலாறு
சமணசமயத்திற்கு ஜைன மதம், ஆருகத மதம், நிகண்ட மதம், அநேகாந்தவாத மதம், ஸியாத்வாத மதம் என்னும் பெயர்களும் உள்ளன.",23,volume_02_work_07.txt
24,"சமணர் (ஸ்ரமணர்) என்றால் துறவிகள் என்பது பொருள். துறவை வற்புறுத்திக் கூறி, துறவு பூண்டோரே வீடுபெறுவர் என்று இந்த மதம் சாற்றுகிறது. எனவே, துறவு எனப் பொருள்படும் சமணம் என்னும் பெயர் இந்த மதத்திற்குச் சிறப்புப் பெயராக வழங்கப்படுகிறது. புலன்களையும் கர்மங்களையும் ஜயித்தவர் (வென்றவர்) ஆகலின் தீர்த்தங்கரருக்கு ஜினர் என்னும் பெயர் உண்டு. ஜினரைக் கடவுளாக உடைய மதம் ஜைன மதம் எனப்பட்டது. சமண சமயக் கடவுளுக்கு அருகன் என்னும் பெயரும் உண்டு. ஆகவே, அருகனை வணங்குவோர் ஆருகதர்1 என்றும் இந்த மதத்திற்கு ஆருகதமதம் என்றும் பெயர்",75,volume_02_work_07.txt
25,"சமணக் கடவுள் பற்றற்றவர் ஆதலின் நிர்க்கந்தர் அல்லது நிகண்டர் எனப்பட்டார். அதுபற்றிச் சமண சமயம் நிகண்டமதம் எனப் பெயர் பெற்றது. மதங்கள் ஏகாந்தவாதம், அநேகாந்த வாதம் என இருவகை. சமணம் ஒழிந்த ஏனைய மதங்கள் எல்லாம் ஏகாந்தவாத மதங்கள். சமணம் ஒன்றே அநாகாந்தவாதத்தைக் கூறுவது. ஆகவே, இந்த மதத்திற்கு அநேகாந்தவாத மதம் என்று பெயர் உண்டாயிற்று. ஸியாத்வாதம் என்றாலும் அநேகாந்த வாதம் என்றாலும் ஒன்றே. அசோக (பிண்டி) மரத்தைப் போற்றுவது சமணர் வழக்கமாதலின் சமணருக்குப் பிண்டியர் என்னும் பெயர் கூறப்படுகிறது.",69,volume_02_work_07.txt
26,"சமண சமயக் கொள்கைகளை அவ்வப்போது உலகத்திலே பரவச் செய்வதன் பொருட்டுத் தீர்த்தங்கரர்கள் என்னும் பெரியார்கள் அவ்வப்போது தோன்றுகின்றார்கள் என்பது சமண சமயக் கொள்கை. இதுவரை இருபத்து நான்கு தீர்த்தங்கரர்கள் தோன்றியுள்ளார்கள் என்பதும், இனியும் இருபத்து நான்கு தீர்த்தங் கரர்கள் தோன்றப் போகிறார்கள் என்பதும் இந்த மதக் கொள்கை யாகும்.
இதுவரை தோன்றியுள்ள இருபத்துநான்கு தீர்த்தங்கரர்களின் பெயர் வருமாறு:",47,volume_02_work_07.txt
27,"தமிழரும் நுண்கலைகளும்

]நுண் கலைகள்: இசை, நடனம், நாடகம் என்பன நுண் கலைகள் எனப் பெயர் பெறும். இவற்றைப் போற்றி வளர்க்கும் நாடே நாகரிக நாடு என்பது மக்களது நீண்ட நாட் கருத்தாக இருந்து வருகின்றது. நுண் உணர்வைத் தட்டி எழுப்பித் தம் வயப்படுத்தும் கலைகளாதலின் இவை நுண் கலைகள் எனப் பெயர் பெற்றன. நம் தமிழ் மக்கள் இக்கலைகளை எங்ஙனம் போற்றி வளர்த்தனர் என்பதைச் சுருக்கமாக இங்கு காண்போம்.",60,volume_06_work_05.txt
28,"இசைக் கலை: இசை என்னும் சொல் இசைவிப்பது, தன் வயப்படுத்துவது எனப் பொருள்படும். மரம், செடி, கொடி என்னும் ஓரறிவுயிர் முதல் மக்கள் என்னும் ஆறறிவுயிர் ஈறாக உயிர்களனைத்தையும் இசை தன் வயப்படுத்த வல்லது. மகுடி இசையும் இசை தன் வயப்படுத்த வல்லது. மகுடி இசையில் மயங்கும் பாம்பும், இசையில் மயக்குண்டு மிக்க சுமையை இழுக்கும் வண்டி மாடும், பாடிக் கொண்டே பாராங் கற்களை உருட்டுபவரும் மேற் கூறப்பெற்ற உண்மைக்குச் சான்றாவர். இத்தகைச் சிறப்புடைய இசை, மதங் கொண்ட யானையையும், வழிப்பறி செய்யும் கொலைஞரையும் மனமாற்றம் செய்ய வல்லது",79,volume_06_work_05.txt
29,"பண்டைத் தமிழகத்தில் செய்யப்பட்ட நூல்களிற் பெரும்பாலான செய்யுள் வடிவிலேயே அமைந்தவை. பிற்காலத்தில் தோன்றிய கல்வெட்டுக்களிற் பலவும் அங்ஙனமே. அவற்றுக்கும் பிற்படத் தோன்றிய அஞ்சல் வடிவில் அமைந்துள்ள சீட்டுக் கவிகளும் மிக்கிருத்தலைக் காண , ஏறத் தாழப் பதினெட்டாம் நூற்றாண்டு வரையில் தமிழகத்தில் இசைத் தமிழ் நூல்களே மிக்கிருந்தன என்று கூறுதல் பொருந்தும். தமிழ்ப் பிள்ளைகள் தம் குழந்தைப் பருவத்தில் தாலாட்டுப் பாக்களையும் ஊசற் பாக்களையும் கேட்டனர்; விளையாடும் பருவத்தில் பந்து விளையாட்டுப் பாடல் (கந்துக வரி), அம்மானை,",67,volume_06_work_05.txt
30,"பொற் சுண்ணம், சாழல், தெள்ளேணம், உந்தி பறத்தல், தோள் நோக்கம் முதலிய ஆடல்களுக்குரிய பாடல் களைப் பாடி மகிழ்ந்தனர். மணத்தில் மங்கல வாழ்த்துப் பாடலைக் கேட்டனர். உலக்கை கொண்டு குத்தும் தொழிலுக் குரிய பாட்டு வள்ளைப் பாட்டு எனப் பெயர் பெற்றது. ஏற்றங் கொண்டு நீர் இறைப்பவர் பாடிய ஏற்றப் பாட்டு முதல் உழைப்புத் தொழில்கள் அனைத்திற்கும் பாடல்களிருந்தன என்பது தெரிகின்றது. தமிழன் இறந்த பின்னரும் பாட்டு அவனை விடவில்லை. பலவகைச் சந்தங்களில் ஒப்பாரிப் பாக்கள் இன்றும் இருத்தலைக் காணலாம். இங்ஙனம் பழந் தமிழர் தம் பிறப்பு முதல்",75,volume_06_work_05.txt
31,"இறப்பு வரை இசையிலேயே வாழ்ந்து வந்தனர் எனக் கூறுதல் முற்றிலும் பொருந்தும். இசைக்குரிய நூல்கள் பலவற்றுள் சிலப்பதிகாரம் தலைசிறந்தது. அதன் உரையைக் கொண்டு முன்னிருந்த இசைத் தமிழ் நூல்கள், இசைக் கருவிகள், இசைவாணர்கள் பற்றிய பல விவரங்களை நன்கு அறியலாம். கி. பி. 7, 8, 9-ம் நூற்றாண்டுகளில் தோன்றிய தேவாரத் திருப்பதிகங் களும், ஆழ்வார் அருட் பாடல்களும் அக்கால வழக்கிலிருந்த பலவகைப் பண்களையும் (இராகங்கள்) தெரிவிப்பனவாகும். குறவஞ்சி, பள்ளு, சிந்து முதலியன இசைத் தமிழ் நூல்களே.",74,volume_06_work_05.txt
32,"தமிழ்ப் பண்கள் ஏழு; அவை குரல், துத்தம், கைக்கிளை, உழை, இளி, விளரி, தாரம் எனப் பெயர் பெற்றன. இவற்றிலிருந்து பிறப்பவை திறங்கள் எனப்பட்டன. இவ்வாறு பிறக்கும் பண்களும் திறங்களும் பல கிளைகளாக இயங்கும் வகைகளில் எண்ணிறந்த இசை வகைகள் கண்டறியப்பட்டிருந்தன. பண்கள் பல வகைப்படும். அவற்றுள் குறிஞ்சி, பாலை, முல்லை, மருதம், நெய்தல் எனப் பெரும் பண்கள் ஐந்து. இவற்றின் வகைப்பட்ட பண்கள் பல. அவற்றுள் பகற் பண்கள், இராப் பண்கள், காலை, மாலைப் பண்கள் என அவ்வப் பொழுதிற்கமைந்த பண்களும் வழக்கில் இருந்தன.",86,volume_06_work_05.txt
33,"இசைக் கருவிகள்: தண்ணுமை, தடாரி, குடமுழா முதலிய பலவகைத் தோற் கருவிகளும், புல்லாங்குழல், நாதசுரம் முதலிய துளைக் கருவி களும் அக்கால வழக்கில் இருந்தன. நரம்புக் கருவிகள் பலவகைப்பட்டன. அவற்றுள் ஏழு நரம்புகளை யுடைய செங்கோட்டு யாழ், பதினான்கு நரம்புகளையுடைய சகோட யாழ், பத்தொன்பது நரம்புகளையுடைய மகர யாழ், இருபத்தொரு நரம்புகளையுடைய பேரி யாழ் என்பன வழக்கில் இருந்தன. கி. பி. 300-க்குப் பிறகே வீணை என்னும் புதிய கருவி வழக்கிற்கு வந்தது. வெண்கலத்தாற் செய்யப்பட்ட வகைகள் கஞ்சக் கருவிகள் எனப்பட்டன.",71,volume_06_work_05.txt
34,"‘புகார்’ என்ற சொல்லுக்கு ‘ஆற்று முகம்’ என்பது பொருள். “புகா அர்ப் புகுந்த பெருங்கலம்” என்பது புறநானூறு. காவிரி கடலோடு கலக்கும் இடமும் அதனைச் சார்ந்த மணற்பரப்பும் தாழம்பூக்காடு நிறைந்த பகுதியாகும். அங்குப் புன்னை முதலிய மரங்கள் செழித்திருத்தன. இக்காரணத்தால் புகார் என்பது “பூங்கானல்” “பூமலி பெருந்துறை’ என்று பட்டினப்பாலை கூறும். எனவே, “பூங்கானல்” என்பது பூம்புகார் என வழங்குதல் இயல்பேயன்றோ! ஆற்று முகத்தை உணர்த்தும் ‘புகார்’ என்னும் பெயர். அவ்விடத்தில் அமைந்த நகரத்திற்கம் பெயராயிற்று.
நகரப் பிரிவுகள்",73,volume_06_work_36.txt
35,"பூம்புகாரைப் பற்றிப் பேசும் சிலப்பதிகாரம், மணிமேகலை, பட்டினப்பாலை என்னும் பண்டைய நூல்களில் புகார் நகரப் பிரிவுகளும் அவை பற்றிய விளக்கமும் காணப்படுகின்றன. புகார் நகரத்தில் கடற்கரையைச் சார்ந்த பகுதி மருவூர்ப்பாக்கம் எனவும், அதற்கு அப்பாற்பட்ட பகுதி பட்டினப்பாக்கம் எனவும் பெயர் பெற்றன. இவ்விரண்டுக்கும் இடைப்பட்ட நிலப்பகுதி சோலைகள் நிறைந்த தாய்ப் பெருங்கடைத் தெருவைத் தன்னகத்தே கொண்டதாய் இருந்தது. அவ்விடம் நாளங்காடி எனப்பெயர் பெற்றது.
மருவூர்ப்பாக்கம்",56,volume_06_work_36.txt
36,"பூம்புகார் கடற்கரைப் பட்டினமாதலின் கரையோரம் இருந்த மருவூர்ப்பாக்கத்தில், சோழ நாட்டுடன் வாணிகம் நடத்தி வந்த அயல் நாட்டார் பெரிய மாளிகைகளை அமைத்துக் கொண்டு வாழ்ந்து வந்தனர். பட்டு நூலாலும் எலி மயிராலும் பருத்தி நூலாலும் நுட்பமான தொழிலைச் செய்த பட்டுச்சாலியர் தெருவும், விலையுயர்ந்த மணிகளும் பொன்னும் சேமித்து வைக்கப்பட்ட தெருக்களும், நெல் முதலிய கூலவகை களை விற்கும் தெருக்களும், பிட்டு வாணிகர், அப்பவாணிகர் கள் விற்பவர், மீன் பிடிப்பவர், உப்பு விற்பவர், பலவகை இறைச்சிகளை விற்போர், கற்பூரம் முதலிய வாசனைப்",71,volume_06_work_36.txt
37,"பொருள்களை விற்போர், ஆட்டு வாணிகர், எண்ணெய் வாணிகர், கன்னார், தச்சர், கொல்லர், ஓவியர், சிற்பர், குயவர், உருக்குத் தட்டார், இரத்தினப்பணித் தட்டார், சிப்பித் தொழில் செய்பவர், தோலைக் கொண்டு பலவகை உறைகளைச் செய்பவர், கிழி, நெட்டி இவற்றைக்கொண்டு மலர், வாடாத மாலை, பொய்க் கொண்டை முதலியவற்றைச் செய்பவர் வாழும் தெருக்களும், இசையில் வல்ல குழலர், பாணர், ஏவல் மக்கள் முதலியோர் வாழத்தக்க தெருக்களும் மருவூர்ப்பாக்கத்தில் இருந்தன.",69,volume_06_work_36.txt
